Carimbo de data/hora;Neologismo;Classe gramatical;Tipologia;Elaborado por:;Contexto 1;Fonte 1;Contexto 2;Fonte 2;Contexto 3;Fonte 3
29/08/2023 19:16;ASMR;substantivo masculino;siglação;Matheus Lima;Esse modelo de vídeo tem nome: ASMR, que significa Autonomous Sensory Meridian Response, e na tradução literal é Resposta Sensorial Autônoma dos Meridianos.;https://www.correiobraziliense.com.br/diversao-e-arte/2022/04/5000606-saiba-o-que-e-asmr-os-videos-que-fazem-sucesso-sem-palavras.html;"Os espectadores chegam com a esperança de experimentar uma sensação prazerosa conhecida como ""Resposta Sensorial Autônoma do Meridiano"" (ASMR, na sigla em inglês)";https://www.bbc.com/portuguese/vert-cap-44829944;;
11/11/2023 16:52;preprint;substantivo masculino e adjetivo;empréstimo;Geideane;Nas plataformas online de publicação de pré-prints, os trabalhos são disponibilizados sem nenhuma revisão por pares, quase que diretamente pelos autores;https://www1.folha.uol.com.br/ciencia/2020/05/como-funciona-a-ciencia-e-quais-sao-os-riscos-dos-pre-prints-na-pandemia.shtml;Preprints são trabalhos em andamento e um dos objetivos é receber comentários de outros cientistas que ajudem na progressão;http://evidenciascovid19.ibict.br/index.php/2020/08/14/o-que-sao-preprints-de-pesquisas-e-qual-a-sua-confiabilidade/;Estudo preprint apoiando ivermectina na Covid-19 é retirado do ar;https://pebmed.com.br/estudo-preprint-apoiando-ivermectina-na-covid-19-e-retirado-do-ar/?utm_source=artigoportal&utm_medium=copytext
13/11/2023 08:46;biofilme;substantivo masculino;composição neoclássica;Karina;Os biofilmes vilões: como as comunidades de bactérias conseguem provocar infecções persistentes;https://parajovens.unesp.br/os-biofilmes-viloes-como-as-comunidades-de-bacterias-conseguem-provocar-infeccoes-persistentes/;Pesquisador da Unesp desenvolve biofilme com cascas de frutas cítricas capaz de conter hemorragias;https://g1.globo.com/sp/sao-jose-do-rio-preto-aracatuba/noticia/2022/01/20/pesquisador-da-unesp-desenvolve-biofilme-com-cascas-de-frutas-citricas-capaz-de-conter-hemorragias.ghtml;Um grupo internacional de pesquisa acaba de provar que uma bactéria existente no kombucha, bebida fermentada feita à base de chás, tem enorme potencial de biorregeneração. Trata-se da Komagataeibacter oboediens, presente no biofilme da kombucha, a parte sólida que se forma sobre a bebida fermentada durante a sua produção;https://ufmg.br/comunicacao/noticias/pesquisa-demonstra-biorregeneracao-de-microrganismos-da-kombucha
13/11/2023 08:58;vape;substantivo masculino;truncamento;Karina;Os cigarros eletrônicos, ou vapes, têm comercialização proibida no Brasil. Ainda assim, eles são extremamente populares entre os jovens - que, muitas vezes, acreditam estar consumindo um produto mais seguro do que as versões tradicionais;https://www.terra.com.br/vida-e-estilo/saude/7-sinais-que-mostram-o-impacto-do-vape-na-sua-saude-bucal,9f9249bfdc3218e59f48eec1917eaa9bljxzdz6g.html?utm_source=clipboard;Vape: Associação Médica Brasileira se posiciona sobre projeto de lei para liberar dispositivos no país;https://oglobo.globo.com/saude/noticia/2023/10/26/vape-associacao-medica-brasileira-se-posiciona-sobre-projeto-de-lei-para-liberar-dispositivos-no-pais.ghtml;Vape é proibido no país, mas número de usuários quadruplicou em quatro anos;https://www1.folha.uol.com.br/podcasts/2023/07/podcast-discute-aumento-no-uso-do-cigarro-eletronico-no-brasil.shtml
13/11/2023 12:11;e-scooter;substantivo masculino;formação com splinter;Julia;Dubai anuncia corrida com e-scooters mais rápidas do mundo;https://olhardigital.com.br/2023/09/21/carros-e-tecnologia/dubai-anuncia-corrida-com-e-scooters-mais-rapidas-do-mundo/;Willemstad: descobrindo a cidade velha a bordo do e-scooter ou batendo perna;https://www.otempo.com.br/turismo/willemstad-descobrindo-a-cidade-velha-a-bordo-do-e-scooter-ou-batendo-perna-1.3202703;;
13/11/2023 19:08;ciclomotor;substantivo masculino;composição neoclássica;Matheus Lima;Afinal, qual é a diferença entre moto e ciclomotor? O que o veículo precisa ter para ser considerado um ciclomotor?;https://autoesporte.globo.com/mobilidade/noticia/2023/07/qual-e-a-diferenca-entre-ciclomotor-e-moto.ghtml;De acordo com a legislação federal, são considerados ciclomotores os veículos de duas ou três rodas com motor de combustão interna de até 50 cm³ [...];https://detran.es.gov.br/Not%C3%ADcia/detran-es-orienta-proprietarios-de-ciclomotores-sobre-o-registro-do-veiculo-a-partir-das-novas-regras;O Contran aprovou a Resolução 996/2023 para estabelecer as diferenças entre ciclomotor, bicicleta elétrica, veículos autopropelidos e motocicletas.;https://automotivebusiness.com.br/pt/posts/mobility-now/contran-regras-ciclomotores/
13/11/2023 19:25;autoteste;substantivo masculino;derivação prefixal;Matheus Lima;A Organização Mundial da Saúde (OMS) passou a recomendar o uso de kits de autoteste de HIV em 2016 para facilitar o acesso ao exame, além de proporcionar confidencialidade e conforto.;https://olhardigital.com.br/2023/10/17/medicina-e-saude/autoteste-de-hiv-nao-esta-melhorando-busca-por-tratamento-mostra-estudo/;[...] embora o autoteste de HIV aumente em 8% as chances de uma pessoa encontrar uma clínica ou médico especializado, muitas pessoas não iniciaram o tratamento de HIV ou a PrEP após o autoteste.;https://www.bbc.com/portuguese/articles/c298e0p3ngeo;;
13/11/2023 23:05;dorama;substantivo masculino;empréstimo;Rômulo;Palavra 'dorama' é incluída no vocabulário da Academia Brasileira de Letras - G1;https://g1.globo.com/educacao/noticia/2023/10/27/palavra-dorama-e-incluida-no-vocabulario-da-academia-brasileira-de-letras.ghtml;A diferença entre K-drama e dorama - O Tempo;https://www.otempo.com.br/entretenimento/filmes-e-series/a-diferenca-entre-k-drama-e-dorama-1.3238180;'Dorama cearense': Coreano viaja 16 mil km para encontrar namorada pela 1ª vez no sertão nordestino - G1;https://g1.globo.com/ce/ceara/noticia/2023/07/22/dorama-cearense-coreano-viaja-mais-de-16-mil-quilometros-para-encontrar-namorada-pela-1a-vez.ghtml
13/09/2024 10:42;agronejo;substantivo masculino;cruzamento vocabular;Karina;Além de características rurais e musicalidade sertaneja, o estilo também carrega batidas dançantes e elementos do funk e da música pop, que formam a base do “agronejo”;https://g1.globo.com/sp/piracicaba-regiao/limeira-rodeo-music/noticia/2024/02/29/agronejo-conheca-vertente-que-ressalta-ambiente-rural-e-une-tradicao-sertaneja-a-elementos-de-pop-funk-e-eletronico.ghtml;Para ser agronejo, a letra precisa falar de “bota”, “chapéu”, “laço” e “boiada”, por exemplo, enquanto um ritmo dançante amarra tudo;https://oglobo.globo.com/cultura/musica/noticia/2023/02/de-olho-nos-jovens-agronejo-prega-uniao-da-cidade-com-a-roca-e-bate-recordes-no-streaming.ghtml;Por trás das batidas animadas de artistas como Ana Castela, Luan Pereira e Us Agroboy, o agronejo apresenta o lado mais positivo da vida no campo, exaltando a importância do agronegócio nacional;https://www.letras.mus.br/blog/o-que-e-agronejo/
13/09/2024 16:30;ônibus-biblioteca;substantivo masculino;composição;Geideane Rodrigues Teixeira;São cerca de dois mil livros, incluindo 50 em braille para crianças, 60 com fonte ampliada, além de 20 audiobook. Tudo isso dentro de ônibus-bibliotecas, que têm como objetivo facilitar o acesso à leitura para quem tem menos oportunidades;https://extra.globo.com/brasil/papo-reto/coluna/2024/06/idealizadora-do-projeto-de-onibus-biblioteca-fala-sobre-a-alegria-de-levar-a-leitura-para-locais-onde-e-dificil-encontrar-publicacoes.ghtml;O projeto itinerante Livros nas Praças, que leva um ônibus-biblioteca a espaços públicos, está de volta ao Rio. Nesta sexta (14), ele estaciona no Parque Madureira;https://vejario.abril.com.br/programe-se/onibus-biblioteca-pracas-emprestimo-livros-rio;No ano passado recebemos dois meninos que estavam vendendo balas no Parque Madureira. Quando viram o ônibus-biblioteca, perguntaram se podiam entrar para ver os livros. Passaram a tarde inteira lendo com os monitores literários e, ao irem embora, agradeceram e disseram que o ônibus-biblioteca foi o único lugar em que chegaram e as pessoas não os olharam com medo de serem assaltadas;https://oglobo.globo.com/rio/bairros/tijuca-e-zona-norte/noticia/2024/05/25/biblioteca-itinerante-percorrera-diferentes-bairros-com-atividades-culturais-veja-o-roteiro.ghtml
